learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),rr,fr,sr,rating,ratingCode
1,4,0,0.238,0.877,0.163,0.853668213,N/A,N/A,N/A,No Recommendation Request
1,4,1,0.238,0.877,0.163,0.83001709,N/A,N/A,N/A,No Recommendation Request
1,4,2,0.238,0.877,0.163,0.814575195,N/A,N/A,N/A,No Recommendation Request
1,4,3,0.238,0.877,0.163,0.696105957,N/A,N/A,N/A,No Recommendation Request
2,8,0,0.201,0.881,0.16,0.20324707,N/A,N/A,N/A,No Recommendation Request
2,8,1,0.201,0.881,0.16,0.675567627,N/A,N/A,N/A,No Recommendation Request
2,8,2,0.201,0.881,0.16,0.019042969,0.489440918,0.688079834,N/A,No Rating Submission
2,8,3,0.201,0.881,0.16,0.438415527,N/A,N/A,N/A,No Recommendation Request
2,8,4,0.201,0.881,0.16,0.072937012,0.458496094,0.681243896,N/A,No Rating Submission
2,8,5,0.201,0.881,0.16,0.319152832,N/A,N/A,N/A,No Recommendation Request
2,8,6,0.201,0.881,0.16,0.631225586,N/A,N/A,N/A,No Recommendation Request
2,8,7,0.201,0.881,0.16,0.481842041,N/A,N/A,N/A,No Recommendation Request
3,10,0,0.215,0.875,0.15,0.911529541,N/A,N/A,N/A,No Recommendation Request
3,10,1,0.215,0.875,0.15,0.440002441,N/A,N/A,N/A,No Recommendation Request
3,10,2,0.215,0.875,0.15,0.829803467,N/A,N/A,N/A,No Recommendation Request
3,10,3,0.215,0.875,0.15,0.333831787,N/A,N/A,N/A,No Recommendation Request
3,10,4,0.215,0.875,0.15,0.785217285,N/A,N/A,N/A,No Recommendation Request
3,10,5,0.215,0.875,0.15,0.707702637,N/A,N/A,N/A,No Recommendation Request
3,10,6,0.215,0.875,0.15,0.915039063,N/A,N/A,N/A,No Recommendation Request
3,10,7,0.215,0.875,0.15,0.977142334,N/A,N/A,N/A,No Recommendation Request
3,10,8,0.215,0.875,0.15,0.576934814,N/A,N/A,N/A,No Recommendation Request
3,10,9,0.215,0.875,0.15,0.856384277,N/A,N/A,N/A,No Recommendation Request
4,13,0,0.229,0.865,0.154,0.628723145,N/A,N/A,N/A,No Recommendation Request
4,13,1,0.229,0.865,0.154,0.092773438,0.633026123,0.256134033,N/A,No Rating Submission
4,13,2,0.229,0.865,0.154,0.527191162,N/A,N/A,N/A,No Recommendation Request
4,13,3,0.229,0.865,0.154,0.964660645,N/A,N/A,N/A,No Recommendation Request
4,13,4,0.229,0.865,0.154,0.793060303,N/A,N/A,N/A,No Recommendation Request
4,13,5,0.229,0.865,0.154,0.715515137,N/A,N/A,N/A,No Recommendation Request
4,13,6,0.229,0.865,0.154,0.759765625,N/A,N/A,N/A,No Recommendation Request
4,13,7,0.229,0.865,0.154,0.790588379,N/A,N/A,N/A,No Recommendation Request
