learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber,nodeRecommendationID
1,4,2,0.238,0.877,0.163,0.338318,0
2,8,4,0.201,0.881,0.16,0.227325,0
2,8,7,0.201,0.881,0.16,0.243011,1
3,10,0,0.215,0.875,0.15,0.912994,0
3,10,1,0.215,0.875,0.15,0.70752,1
3,10,2,0.215,0.875,0.15,0.682129,2
3,10,5,0.215,0.875,0.15,0.514221,3
4,13,5,0.229,0.865,0.154,0.435669,3
4,13,12,0.229,0.865,0.154,0.071045,2
6,19,10,0.22,0.863,0.181,0.435974,3
7,8,0,0.209,0.866,0.153,0.311981,3
7,8,4,0.209,0.866,0.153,0.65213,2
8,10,2,0.223,0.887,0.165,0.568726,3
8,10,4,0.223,0.887,0.165,0.051636,1
8,10,6,0.223,0.887,0.165,0.568939,9
9,13,2,0.199,0.871,0.156,0.122742,1
9,13,6,0.199,0.871,0.156,0.537354,9
9,13,9,0.199,0.871,0.156,0.024567,6
12,19,7,0.221,0.877,0.142,0.790558,1
12,19,9,0.221,0.877,0.142,0.198517,0
12,19,17,0.221,0.877,0.142,0.866913,4
13,8,1,0.232,0.87,0.181,0.466034,0
13,8,4,0.232,0.87,0.181,0.545135,4
13,8,5,0.232,0.87,0.181,0.570129,1
13,8,6,0.232,0.87,0.181,0.934937,9
17,16,1,0.22,0.885,0.159,0.918854,0
17,16,10,0.22,0.885,0.159,0.608154,4
17,16,13,0.22,0.885,0.159,0.513336,1
18,10,9,0.213,0.871,0.173,0.53598,0
19,5,2,0.203,0.874,0.147,0.084076,0
20,16,1,0.203,0.875,0.159,0.385559,0
21,6,1,0.224,0.868,0.161,0.945923,0
21,6,5,0.224,0.868,0.161,0.963837,4
22,11,1,0.213,0.886,0.179,0.167542,0
22,11,3,0.213,0.886,0.179,0.959198,4
22,11,5,0.213,0.886,0.179,0.241119,6
24,12,0,0.204,0.882,0.181,0.80069,4
24,12,7,0.204,0.882,0.181,0.571045,6
24,12,9,0.204,0.882,0.181,0.345093,9
25,15,4,0.222,0.878,0.162,0.114899,4
25,15,8,0.222,0.878,0.162,0.590088,6
25,15,13,0.222,0.878,0.162,0.614227,9
26,20,1,0.21,0.877,0.164,0.118805,4
26,20,3,0.21,0.877,0.164,0.318939,6
26,20,5,0.21,0.877,0.164,0.930206,9
26,20,9,0.21,0.877,0.164,0.984528,2
26,20,10,0.21,0.877,0.164,0.174011,1
27,10,6,0.197,0.884,0.171,0.083984,4
28,20,1,0.222,0.858,0.156,0.28363,4
28,20,2,0.222,0.858,0.156,0.735321,6
28,20,9,0.222,0.858,0.156,0.923462,9
28,20,17,0.222,0.858,0.156,0.922546,2
29,20,6,0.225,0.848,0.187,0.555939,4
29,20,9,0.225,0.848,0.187,0.794037,6
