learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber
1,4,0,0.238,0.877,0.163,0.496674
1,4,1,0.238,0.877,0.163,0.594513
1,4,2,0.238,0.877,0.163,0.730652
1,4,3,0.238,0.877,0.163,0.787018
2,8,0,0.201,0.881,0.16,0.905792
2,8,1,0.201,0.881,0.16,0.672943
2,8,2,0.201,0.881,0.16,0.063263
2,8,2,0.201,0.881,0.16,0.053467
2,8,2,0.201,0.881,0.16,0.471924
2,8,3,0.201,0.881,0.16,0.18869
2,8,3,0.201,0.881,0.16,0.087494
2,8,3,0.201,0.881,0.16,0.756866
2,8,4,0.201,0.881,0.16,0.462036
2,8,5,0.201,0.881,0.16,0.924072
2,8,6,0.201,0.881,0.16,0.673462
2,8,7,0.201,0.881,0.16,0.214355
3,10,0,0.215,0.875,0.15,0.736145
3,10,1,0.215,0.875,0.15,0.0271
3,10,1,0.215,0.875,0.15,0.374481
3,10,1,0.215,0.875,0.15,0.68399
3,10,2,0.215,0.875,0.15,0.097748
3,10,2,0.215,0.875,0.15,0.311768
3,10,2,0.215,0.875,0.15,0.563019
3,10,3,0.215,0.875,0.15,0.582123
3,10,4,0.215,0.875,0.15,0.547119
3,10,5,0.215,0.875,0.15,0.764771
3,10,6,0.215,0.875,0.15,0.636292
3,10,7,0.215,0.875,0.15,0.586761
3,10,8,0.215,0.875,0.15,0.756195
3,10,9,0.215,0.875,0.15,0.608032
4,13,0,0.229,0.865,0.154,0.810547
4,13,1,0.229,0.865,0.154,0.627747
4,13,2,0.229,0.865,0.154,0.129089
4,13,2,0.229,0.865,0.154,0.180786
4,13,2,0.229,0.865,0.154,0.509277
4,13,3,0.229,0.865,0.154,0.326172
4,13,4,0.229,0.865,0.154,0.457825
4,13,5,0.229,0.865,0.154,0.441772
4,13,6,0.229,0.865,0.154,0.260925
4,13,7,0.229,0.865,0.154,0.728699
4,13,8,0.229,0.865,0.154,0.306152
4,13,9,0.229,0.865,0.154,0.43042
4,13,10,0.229,0.865,0.154,0.303955
4,13,11,0.229,0.865,0.154,0.19397
4,13,11,0.229,0.865,0.154,0.820374
4,13,11,0.229,0.865,0.154,0.164032
4,13,12,0.229,0.865,0.154,0.535461
5,9,0,0.22,0.871,0.172,0.210266
5,9,0,0.22,0.871,0.172,0.317749
5,9,0,0.22,0.871,0.172,0.140747
5,9,0,0.22,0.871,0.172,0.527161
5,9,1,0.22,0.871,0.172,0.549622
5,9,2,0.22,0.871,0.172,0.075104
5,9,2,0.22,0.871,0.172,0.810364
5,9,2,0.22,0.871,0.172,0.260193
5,9,3,0.22,0.871,0.172,0.950409
5,9,4,0.22,0.871,0.172,0.974335
5,9,5,0.22,0.871,0.172,0.946747
5,9,6,0.22,0.871,0.172,0.747284
5,9,7,0.22,0.871,0.172,0.847107
5,9,8,0.22,0.871,0.172,0.314545
6,19,0,0.22,0.863,0.181,0.938934
6,19,1,0.22,0.863,0.181,0.48407
6,19,2,0.22,0.863,0.181,0.150909
6,19,2,0.22,0.863,0.181,0.551697
6,19,2,0.22,0.863,0.181,0.353516
6,19,3,0.22,0.863,0.181,0.025604
6,19,3,0.22,0.863,0.181,0.304565
6,19,3,0.22,0.863,0.181,0.037567
6,19,3,0.22,0.863,0.181,0.68988
6,19,4,0.22,0.863,0.181,0.889893
6,19,5,0.22,0.863,0.181,0.047058
6,19,5,0.22,0.863,0.181,0.233765
6,19,5,0.22,0.863,0.181,0.383392
6,19,6,0.22,0.863,0.181,0.973694
6,19,7,0.22,0.863,0.181,0.935181
6,19,8,0.22,0.863,0.181,0.045349
6,19,8,0.22,0.863,0.181,0.692108
6,19,8,0.22,0.863,0.181,0.657501
6,19,9,0.22,0.863,0.181,0.688446
6,19,10,0.22,0.863,0.181,0.169525
6,19,10,0.22,0.863,0.181,0.813904
6,19,10,0.22,0.863,0.181,0.708588
6,19,11,0.22,0.863,0.181,0.431458
6,19,12,0.22,0.863,0.181,0.184479
6,19,12,0.22,0.863,0.181,0.90036
6,19,13,0.22,0.863,0.181,0.44751
6,19,14,0.22,0.863,0.181,0.923309
6,19,15,0.22,0.863,0.181,0.085999
6,19,15,0.22,0.863,0.181,0.313873
6,19,15,0.22,0.863,0.181,0.526337
6,19,16,0.22,0.863,0.181,0.367706
6,19,17,0.22,0.863,0.181,0.221527
6,19,18,0.22,0.863,0.181,0.58374
7,8,0,0.209,0.866,0.153,0.186218
7,8,0,0.209,0.866,0.153,0.98996
7,8,1,0.209,0.866,0.153,0.359802
7,8,2,0.209,0.866,0.153,0.611053
7,8,3,0.209,0.866,0.153,0.03537
7,8,3,0.209,0.866,0.153,0.154175
7,8,3,0.209,0.866,0.153,0.369507
7,8,4,0.209,0.866,0.153,0.48587
7,8,5,0.209,0.866,0.153,0.13504
7,8,5,0.209,0.866,0.153,0.266602
7,8,5,0.209,0.866,0.153,0.368073
7,8,6,0.209,0.866,0.153,0.28595
7,8,7,0.209,0.866,0.153,0.371094
8,10,0,0.223,0.887,0.165,0.336426
8,10,1,0.223,0.887,0.165,0.113403
8,10,1,0.223,0.887,0.165,0.558807
8,10,1,0.223,0.887,0.165,0.388763
8,10,2,0.223,0.887,0.165,0.86084
8,10,3,0.223,0.887,0.165,0.735931
8,10,4,0.223,0.887,0.165,0.563812
8,10,5,0.223,0.887,0.165,0.343262
8,10,6,0.223,0.887,0.165,0.536652
8,10,7,0.223,0.887,0.165,0.667389
8,10,8,0.223,0.887,0.165,0.494965
8,10,9,0.223,0.887,0.165,0.183258
8,10,9,0.223,0.887,0.165,0.202301
8,10,9,0.223,0.887,0.165,0.295105
9,13,0,0.199,0.871,0.156,0.133698
9,13,0,0.199,0.871,0.156,0.539825
9,13,0,0.199,0.871,0.156,0.686401
9,13,1,0.199,0.871,0.156,0.779968
9,13,2,0.199,0.871,0.156,0.281952
9,13,3,0.199,0.871,0.156,0.062469
9,13,3,0.199,0.871,0.156,0.769348
9,13,3,0.199,0.871,0.156,0.472229
9,13,4,0.199,0.871,0.156,0.003937
9,13,4,0.199,0.871,0.156,0.396759
9,13,4,0.199,0.871,0.156,0.025116
9,13,4,0.199,0.871,0.156,0.041809
9,13,5,0.199,0.871,0.156,0.342743
9,13,6,0.199,0.871,0.156,0.266479
9,13,7,0.199,0.871,0.156,0.514069
9,13,8,0.199,0.871,0.156,0.609344
9,13,9,0.199,0.871,0.156,0.639954
9,13,10,0.199,0.871,0.156,0.3284
9,13,11,0.199,0.871,0.156,0.72113
9,13,12,0.199,0.871,0.156,0.306244
10,7,0,0.2,0.876,0.158,0.243744
10,7,1,0.2,0.876,0.158,0.088104
10,7,1,0.2,0.876,0.158,0.746155
10,7,1,0.2,0.876,0.158,0.220398
10,7,2,0.2,0.876,0.158,0.596497
10,7,3,0.2,0.876,0.158,0.574036
10,7,4,0.2,0.876,0.158,0.910004
10,7,5,0.2,0.876,0.158,0.580292
10,7,6,0.2,0.876,0.158,0.435486
11,2,0,0.194,0.867,0.189,0.775757
11,2,1,0.194,0.867,0.189,0.235596
12,19,0,0.221,0.877,0.142,0.633759
12,19,1,0.221,0.877,0.142,0.571838
12,19,2,0.221,0.877,0.142,0.188141
12,19,2,0.221,0.877,0.142,0.554138
12,19,2,0.221,0.877,0.142,0.116669
12,19,2,0.221,0.877,0.142,0.377625
12,19,3,0.221,0.877,0.142,0.833801
12,19,4,0.221,0.877,0.142,0.941864
12,19,5,0.221,0.877,0.142,0.651611
12,19,6,0.221,0.877,0.142,0.124207
12,19,6,0.221,0.877,0.142,0.570282
12,19,6,0.221,0.877,0.142,0.649017
12,19,7,0.221,0.877,0.142,0.516663
12,19,8,0.221,0.877,0.142,0.841858
12,19,9,0.221,0.877,0.142,0.859436
12,19,10,0.221,0.877,0.142,0.692871
12,19,11,0.221,0.877,0.142,0.31601
12,19,12,0.221,0.877,0.142,0.510132
12,19,13,0.221,0.877,0.142,0.69693
12,19,14,0.221,0.877,0.142,0.774872
12,19,15,0.221,0.877,0.142,0.678101
12,19,16,0.221,0.877,0.142,0.430695
12,19,17,0.221,0.877,0.142,0.612793
12,19,18,0.221,0.877,0.142,0.771576
13,8,0,0.232,0.87,0.181,0.994049
13,8,1,0.232,0.87,0.181,0.670013
13,8,2,0.232,0.87,0.181,0.157837
13,8,2,0.232,0.87,0.181,0.524628
13,8,2,0.232,0.87,0.181,0.009399
13,8,2,0.232,0.87,0.181,0.099487
13,8,3,0.232,0.87,0.181,0.60434
13,8,4,0.232,0.87,0.181,0.179077
13,8,4,0.232,0.87,0.181,0.236908
13,8,4,0.232,0.87,0.181,0.225189
13,8,5,0.232,0.87,0.181,0.013306
13,8,5,0.232,0.87,0.181,0.012939
13,8,5,0.232,0.87,0.181,0.434082
13,8,6,0.232,0.87,0.181,0.451538
13,8,7,0.232,0.87,0.181,0.050049
13,8,7,0.232,0.87,0.181,0.801605
13,8,7,0.232,0.87,0.181,0.973114
14,7,0,0.219,0.871,0.161,0.7659
14,7,1,0.219,0.871,0.161,0.509399
14,7,2,0.219,0.871,0.161,0.154755
14,7,2,0.219,0.871,0.161,0.385895
14,7,2,0.219,0.871,0.161,0.529083
14,7,3,0.219,0.871,0.161,0.366394
14,7,4,0.219,0.871,0.161,0.352478
14,7,5,0.219,0.871,0.161,0.749542
14,7,6,0.219,0.871,0.161,0.937805
15,15,0,0.218,0.879,0.17,0.85199
