learnerID,sitesVisited,step,node,pr(rr),pr(fr),pr(sr),rr,fr,sr,ratingValue,nodeValue
3,10,8,0,0.215,0.875,0.15,0.053253174,0.342254639,0.033508301,4,0.743625572
3,10,8,1,0.215,0.875,0.15,0.053253174,0.342254639,0.033508301,4,0.741912837
3,10,8,2,0.215,0.875,0.15,0.053253174,0.342254639,0.033508301,4,0.56409742
3,10,8,3,0.215,0.875,0.15,0.053253174,0.342254639,0.033508301,4,0.625476719
3,10,8,4,0.215,0.875,0.15,0.053253174,0.342254639,0.033508301,4,0.729435283
3,10,8,5,0.215,0.875,0.15,0.053253174,0.342254639,0.033508301,4,0.544521203
3,10,8,6,0.215,0.875,0.15,0.053253174,0.342254639,0.033508301,4,0.720242826
3,10,8,7,0.215,0.875,0.15,0.053253174,0.342254639,0.033508301,4,0.523666572
3,10,8,8,0.215,0.875,0.15,0.053253174,0.342254639,0.033508301,4,0.562537788
3,10,8,9,0.215,0.875,0.15,0.053253174,0.342254639,0.033508301,4,0.746178895
8,10,4,0,0.223,0.887,0.165,0.194152832,0.571838379,0.072875977,2,0.621812786
8,10,4,1,0.223,0.887,0.165,0.194152832,0.571838379,0.072875977,2,0.620956419
8,10,4,2,0.223,0.887,0.165,0.194152832,0.571838379,0.072875977,2,0.53204871
8,10,4,3,0.223,0.887,0.165,0.194152832,0.571838379,0.072875977,2,0.56273836
8,10,4,4,0.223,0.887,0.165,0.194152832,0.571838379,0.072875977,2,0.614717642
8,10,4,5,0.223,0.887,0.165,0.194152832,0.571838379,0.072875977,2,0.522260601
8,10,4,6,0.223,0.887,0.165,0.194152832,0.571838379,0.072875977,2,0.610121413
8,10,4,7,0.223,0.887,0.165,0.194152832,0.571838379,0.072875977,2,0.511833286
8,10,4,8,0.223,0.887,0.165,0.194152832,0.571838379,0.072875977,2,0.531268894
8,10,4,9,0.223,0.887,0.165,0.194152832,0.571838379,0.072875977,2,0.623089448
12,19,3,0,0.221,0.877,0.142,0.060760498,0.34197998,0.022033691,3,0.771474224
12,19,3,1,0.221,0.877,0.142,0.060760498,0.34197998,0.022033691,3,0.603120237
12,19,3,2,0.221,0.877,0.142,0.060760498,0.34197998,0.022033691,3,0.545712649
12,19,3,3,0.221,0.877,0.142,0.060760498,0.34197998,0.022033691,3,0.57311259
12,19,3,4,0.221,0.877,0.142,0.060760498,0.34197998,0.022033691,3,0.760180018
